,start_time,end_time,P_total
150,2022-10-23 07:29:00,2022-10-23 07:52:00,7.793
122,2022-09-20 12:07:00,2022-09-20 12:49:00,7.686
559,2025-05-12 07:03:00,2025-05-12 07:31:00,7.637
476,2024-10-01 10:24:00,2024-10-01 10:47:00,7.615
367,2024-05-20 09:54:00,2024-05-20 10:46:00,7.601
309,2023-09-24 08:43:00,2023-09-24 08:52:00,7.581
46,2022-06-21 11:47:00,2022-06-21 14:03:00,7.576
568,2025-05-25 15:09:00,2025-05-25 15:39:00,7.558
230,2023-06-30 07:47:00,2023-06-30 09:46:00,7.554
85,2022-08-08 04:46:00,2022-08-08 06:07:00,7.455
325,2023-10-07 11:58:00,2023-10-07 13:42:00,7.453
556,2025-05-10 00:00:00,2025-05-10 00:46:00,7.407
538,2025-02-11 12:22:00,2025-02-11 12:53:00,7.392
332,2023-10-15 13:40:00,2023-10-15 13:59:00,7.324
391,2024-06-24 02:24:00,2024-06-24 02:50:00,7.294
696,2025-10-22 17:13:00,2025-10-22 18:05:00,7.284
60,2022-07-09 09:58:00,2022-07-09 10:28:00,7.179
293,2023-09-08 07:05:00,2023-09-08 08:09:00,7.093
534,2024-12-28 09:54:00,2024-12-28 10:09:00,7.05
566,2025-05-24 05:01:00,2025-05-24 05:57:00,7.014
697,2025-10-24 07:44:00,2025-10-24 08:53:00,7.014
457,2024-09-13 07:15:00,2024-09-13 07:29:00,6.936
713,2025-11-09 08:44:00,2025-11-09 09:03:00,6.881
535,2025-01-01 18:28:00,2025-01-01 18:50:00,6.738
395,2024-07-03 09:16:00,2024-07-03 10:05:00,6.726
345,2023-11-02 11:52:00,2023-11-02 12:35:00,6.701
437,2024-08-25 05:52:00,2024-08-25 06:22:00,6.674
473,2024-09-24 06:04:00,2024-09-24 07:34:00,6.644
676,2025-10-01 05:38:00,2025-10-01 06:17:00,6.614
209,2023-06-04 10:52:00,2023-06-04 13:56:00,6.606
631,2025-08-25 18:52:00,2025-08-25 19:38:00,6.371
708,2025-11-03 02:22:00,2025-11-03 04:20:00,6.366
217,2023-06-13 11:17:00,2023-06-13 11:36:00,6.365
500,2024-10-20 04:46:00,2024-10-20 05:07:00,6.334
186,2023-01-24 11:53:00,2023-01-24 12:56:00,6.272
158,2022-11-01 18:15:00,2022-11-01 18:40:00,6.261
87,2022-08-12 09:42:00,2022-08-12 11:02:00,6.205
184,2023-01-09 19:53:00,2023-01-09 21:37:00,6.173
550,2025-04-25 11:32:00,2025-04-25 12:12:00,6.131
706,2025-11-01 03:45:00,2025-11-01 04:11:00,6.106
311,2023-09-26 04:25:00,2023-09-26 04:51:00,6.063
434,2024-08-20 10:06:00,2024-08-20 10:50:00,6.024
